UID,DEGREE CENTRALITY
836460098,850.0
1031734142,6.0
1620195574,6.0
592958344,6.0
752049186,30.0
100000460797181,52.0
1150567451,106.0
1512397688,32.0
659780554,56.0
1583767010,40.0
1353053028,98.0
100001291308549,86.0
1592342186,60.0
1550065701,64.0
1377861809,30.0
1003742112,46.0
1478113265,48.0
1422401843,18.0
100000614600550,56.0
100001798566146,10.0
1306021650,22.0
100001693022196,90.0
1577119215,18.0
100000437562594,80.0
1577440545,4.0
699749567,10.0
1529441651,40.0
100000048381511,54.0
1557184819,28.0
1529169343,34.0
1379547150,34.0
1286239002,32.0
100002081767299,34.0
100004967584302,22.0
1288360510,42.0
100008029844848,28.0
100003784913934,26.0
1041832045,30.0
100008302000551,38.0
1318986142,32.0
100002269884346,26.0
702751883,24.0
1659609863,28.0
1357590223,34.0
100004490670042,32.0
1627000464,12.0
1577885232,14.0
1449108101,12.0
1347703224,18.0
1548840395,18.0
100000914628671,10.0
1745385892,26.0
1547402711,20.0
1373347961,4.0
1206710771,12.0
1008807096,10.0
100003825277168,6.0
1472505912,12.0
1120816688,6.0
1120025226,8.0
751502974,58.0
1463362965,50.0
100003332784039,18.0
1645624410,24.0
1475837888,54.0
1246760058,60.0
100002768706225,30.0
1544416648,82.0
1629302317,74.0
1060995620,24.0
554993142,4.0
659499600,12.0
100002630417624,28.0
100000508970432,24.0
567278625,38.0
100000487715596,44.0
100000179415374,70.0
100000274192255,64.0
1643448655,78.0
1516178922,48.0
1825677330,32.0
100002201148895,8.0
100000599363299,16.0
100002294510758,40.0
1210125203,4.0
708010934,6.0
100001074596054,2.0
1095862165,16.0
1355864057,10.0
572102924,16.0
1187093618,48.0
1462203855,14.0
669584808,14.0
1500995833,32.0
590651024,20.0
1265922058,42.0
1556264029,82.0
1331116607,24.0
1526265547,18.0
1176475320,8.0
1054171618,70.0
100001638152391,60.0
100003142745920,70.0
1036670655,12.0
1340266499,56.0
537646373,2.0
1511243235,4.0
100001871897493,22.0
100003676567468,6.0
1745483871,42.0
1164788058,6.0
1031049658,4.0
1547469370,10.0
100001005424972,28.0
1393294075,14.0
564772809,34.0
520556385,14.0
701600541,10.0
677317169,16.0
1264640018,22.0
1802162943,20.0
1267867050,12.0
733285873,6.0
1461082972,24.0
100000121438746,48.0
1489906719,8.0
1557964253,28.0
1569649317,14.0
1105261710,8.0
